Entity,ID,Sentences,
Midriff Flossing,1a,A new phrase has entered the fashion lexicon for spring/summer 2020: midriff flossing.,By Alice Newbold
,,Explainer: skirts with tie fastenings that wrap around the waist to highlight the stomach area.,
,,"slimline, hip-hugging, mid-length, tie-side ? the perfect modern workwear",
,,"The straight-fit ?00s midi skirt is having a resurgence thanks largely to Australian designer Christopher Esber, whose clients include Hailey Bieber, Dua Lipa, Emily Ratajkowski, Solange and Zendaya.",
,,See EmRata?s own brand Inamorata for how the model winds her tie fastenings around her waistline.,
,,Christopher Esber SS20,
,1b,"This whimsy belies the impeccable tailoring at Christopher Esber?s core: ?If you open up [our dresses and skirts] you?ll find there are a lot of inner workings at play to control the cut-outs,? he explained.",
,,Style the sleek designs with flatform flip flops (The Row?s Ginza style is an editor-approved failsafe) and a tight vest or bandeau,
,,Camille CharriŠre in Christopher Esber,
,1c,London?s rising star Supriya Lele?s midriff flossing is rooted in the designer?s Indian heritage.,
,,"I?m always looking at my culture from a skeletal perspective,? she explained in the July issue of the magazine.",
,,"The delicate draping and wispy tie fastenings on Lele?s skirts and dresses look sensual, as opposed to stereotypical.",
,,"?It is the ghosts of these things, as opposed to doing a dupion trouser suit or putting a bindi on a model,? she added of her subtlety and lightness of touch.",
,1d,"Vintage obsessive Anne-Laure Mais of Musier Paris is making sure French It-girls, like CharriŠre, have enough tie-waisted skirts to see them through summer.",
,,"Inspired by the surfer scene and the vibrant culture of Spain, Mais?s effortless philosophy plays into the same relaxed mood shared by Esber?s beach-frequenting customers.",
,,"If sand and sea seem like a distant memory (here?s looking at you rainy England), enjoy sundowners in the city with your take on the flossing trend.",
,,"When the evening cools (or the post-dinner fatigue sets in), button-up a tight knit cardigan (also very ?00s) and no one need be any the wiser of the ties slithering up your tummy",
Expect To See A Lot More Of The Model Student Who Closed The Dior Cruise Show,2a,Senegalese model Maty Fall Diba closed the Dior Cruise 2021 show wearing a corseted diaphanous gown embroidered with flora and fauna.,BY ALICE NEWBOLD
,,"With a crown forming a luminous halo around her braids, it was a triumphant moment for the fresh-faced beauty, who will also star in the brand?s resort campaign.",
,,"But, there was no rapturous applause for Maty Fall as she walked down the glowing main square in Lecce, Puglia.",
,,"Due to social-distancing guidelines in light of Covid-19, thousands of Dior customers, celebrities, buyers and members of the press watched the presentation via livestream.",
,,Dior Cruise 2021,
,2b,"For now, Maty Fall is still digesting the Dior spectacle and her quick sojourn to France for the Jacquemus show the week prior.",
,,"?It was like a fairytale,? she says of the ?spectacular? makeshift runway in rolling wheat fields outside of Paris.",
,,"Now, thanks to Dior, she has the crown to make the magic seem all the more real.",
