Category: All categories

Region,A-line: (8/7/19 - 8/7/20)
Kerala,100
Karnataka,92
Assam,83
Telangana,83
Odisha,75
Tamil Nadu,70
Delhi,68
Punjab,66
Haryana,65
Maharashtra,59
Uttar Pradesh,58
Madhya Pradesh,51
Gujarat,50
Andhra Pradesh,43
West Bengal,43
Rajasthan,33
Bihar,30
Goa,
Nagaland,
Puducherry,
Manipur,
Chandigarh,
Chhattisgarh,
Himachal Pradesh,
Jharkhand,
Jammu and Kashmir,
Uttarakhand,
Andaman and Nicobar Islands,
Arunachal Pradesh,
Daman and Diu,
Dadra and Nagar Haveli,
Lakshadweep,
Meghalaya,
Mizoram,
Sikkim,
Tripura,
