Category: All categories

Region,Miniskirt: (8/7/19 - 8/7/20)
Nagaland,100
Andaman and Nicobar Islands,73
Meghalaya,60
Manipur,52
Assam,39
Tripura,37
Goa,31
Uttarakhand,23
Jharkhand,20
Chandigarh,20
Delhi,19
West Bengal,19
Odisha,18
Chhattisgarh,17
Himachal Pradesh,17
Punjab,16
Jammu and Kashmir,16
Karnataka,15
Maharashtra,15
Uttar Pradesh,14
Kerala,14
Haryana,13
Bihar,13
Rajasthan,13
Madhya Pradesh,11
Gujarat,10
Tamil Nadu,10
Puducherry,9
Telangana,8
Andhra Pradesh,7
Arunachal Pradesh,
Sikkim,
Mizoram,
Daman and Diu,
Dadra and Nagar Haveli,
Lakshadweep,
