Category: All categories

Region,Pencil skirt: (8/7/19 - 8/7/20)
Assam,100
Manipur,93
Chandigarh,79
Uttarakhand,76
Delhi,73
West Bengal,72
Jharkhand,63
Chhattisgarh,57
Karnataka,55
Punjab,54
Himachal Pradesh,53
Odisha,49
Kerala,46
Maharashtra,44
Haryana,43
Jammu and Kashmir,41
Tamil Nadu,38
Gujarat,37
Uttar Pradesh,35
Rajasthan,34
Madhya Pradesh,31
Telangana,29
Bihar,25
Andhra Pradesh,19
Daman and Diu,
Dadra and Nagar Haveli,
Nagaland,
Meghalaya,
Sikkim,
Arunachal Pradesh,
Tripura,
Mizoram,
Puducherry,
Goa,
Andaman and Nicobar Islands,
Lakshadweep,
