Category: All categories

Region,Skirt: (8/7/19 - 8/7/20)
Nagaland,100
Meghalaya,96
Kerala,69
Mizoram,67
Manipur,66
Andaman and Nicobar Islands,64
Sikkim,59
Arunachal Pradesh,58
Uttarakhand,56
Goa,55
Assam,52
Delhi,47
Jharkhand,47
Haryana,45
Chandigarh,45
Tripura,44
Karnataka,43
Chhattisgarh,42
Puducherry,41
Punjab,37
Uttar Pradesh,36
Maharashtra,35
Daman and Diu,35
Tamil Nadu,33
Jammu and Kashmir,32
West Bengal,31
Odisha,31
Himachal Pradesh,31
Rajasthan,29
Madhya Pradesh,26
Bihar,25
Telangana,25
Gujarat,25
Dadra and Nagar Haveli,21
Andhra Pradesh,19
Lakshadweep,
