timestamp,tweet
12-02-2020 17:54,A new phrase has entered the fashion lexicon for spring/summer 2020: midriff flossing.
12-02-2020 17:34,Explainer: skirts with tie fastenings that wrap around the waist to highlight the stomach area.
12-02-2020 17:33,"slimline, hip-hugging, mid-length, tie-side – the perfect modern workwear"
12-02-2020 17:28,"The straight-fit ’00s midi skirt is having a resurgence thanks largely to Australian designer Christopher Esber, whose clients include Hailey Bieber, Dua Lipa, Emily Ratajkowski, Solange and Zendaya."
12-02-2020 17:28,See EmRata’s own brand Inamorata for how the model winds her tie fastenings around her waistline.
12-02-2020 17:27,Christopher Esber SS20
12-02-2020 17:26,"This whimsy belies the impeccable tailoring at Christopher Esber’s core: “If you open up [our dresses and skirts] you’ll find there are a lot of inner workings at play to control the cut-outs,” he explained."
12-02-2020 17:18,Style the sleek designs with flatform flip flops (The Row’s Ginza style is an editor-approved failsafe) and a tight vest or bandeau
12-02-2020 17:16,Camille Charrière in Christopher Esber
12-02-2020 17:11,London’s rising star Supriya Lele’s midriff flossing is rooted in the designer’s Indian heritage.
12-02-2020 17:05,"I’m always looking at my culture from a skeletal perspective,” she explained in the July issue of the magazine."
12-02-2020 17:04,"The delicate draping and wispy tie fastenings on Lele’s skirts and dresses look sensual, as opposed to stereotypical."
12-02-2020 17:00,"“It is the ghosts of these things, as opposed to doing a dupion trouser suit or putting a bindi on a model,” she added of her subtlety and lightness of touch."
12-02-2020 16:54,"Vintage obsessive Anne-Laure Mais of Musier Paris is making sure French It-girls, like Charrière, have enough tie-waisted skirts to see them through summer."
12-02-2020 16:51,"Inspired by the surfer scene and the vibrant culture of Spain, Mais’s effortless philosophy plays into the same relaxed mood shared by Esber’s beach-frequenting customers."
12-02-2020 16:51,"If sand and sea seem like a distant memory (here’s looking at you rainy England), enjoy sundowners in the city with your take on the flossing trend."
12-02-2020 16:48,"When the evening cools (or the post-dinner fatigue sets in), button-up a tight knit cardigan (also very ’00s) and no one need be any the wiser of the ties slithering up your tummy"
12-02-2020 16:35,Senegalese model Maty Fall Diba closed the Dior Cruise 2021 show wearing a corseted diaphanous gown embroidered with flora and fauna.
12-02-2020 16:34,"With a crown forming a luminous halo around her braids, it was a triumphant moment for the fresh-faced beauty, who will also star in the brand’s resort campaign."
12-02-2020 16:33,"But, there was no rapturous applause for Maty Fall as she walked down the glowing main square in Lecce, Puglia."
12-02-2020 16:30,"Due to social-distancing guidelines in light of Covid-19, thousands of Dior customers, celebrities, buyers and members of the press watched the presentation via livestream."
12-02-2020 16:20,Dior Cruise 2021
12-02-2020 16:20,"For now, Maty Fall is still digesting the Dior spectacle and her quick sojourn to France for the Jacquemus show the week prior."
12-02-2020 16:15,"“It was like a fairytale,” she says of the “spectacular” makeshift runway in rolling wheat fields outside of Paris."
12-02-2020 16:13,"Now, thanks to Dior, she has the crown to make the magic seem all the more real."
12-02-2020 16:13,Jacquemus spring/summer 2020
12-02-2020 16:11,"After submitting pictures of herself to IMG last summer, she was signed immediately."
12-02-2020 16:02,Maty Fall made her catwalk debut for Saint Laurent spring/summer 2020 in a black sequin blazer and closed the Valentino show that season wearing an undulating white tulle gown that drew audible gasps from the audience.
12-02-2020 16:02,Her status as a model to watch was cemented.
12-02-2020 15:57,Valentino spring/summer 2020
12-02-2020 15:56,while spreading a joyous energy to all — shining brightly while making sure others get their time in the light.
12-02-2020 15:56,"As a fixed sign, this time is all about showing undying loyalty to those you love, which means public displays of affection and gassing up your friends."
12-02-2020 15:44,"It means you may feel a laser fixation on your goals, boosting your ambition, while feeling extra content to savour long idle moments."
12-02-2020 15:22,"On the flip side, it’s a season that can bring on a sense of self-righteousness; thinking you know best and being stubborn to change"
12-02-2020 15:22,"plus the warmth of this fire sign can quickly flair into the heat of anger, if crossed. That fury can, however, be channelled effectively, and embolden you to fight for what you believe in."
12-02-2020 15:14,Leo Season is guaranteed to give you life.
12-02-2020 14:52,The Duchess of Cambridge has always had a penchant for prim and proper looks.
12-02-2020 14:50,"It comes as no surprise then that for her latest royal outing with Prince William, she wore a classic Suzannah cotton shirt dress with a speckled blue print"
12-02-2020 14:47,"paired with her favourite Castañer Carina wedge espadrilles and a gold Sézane bangle, which added a touch of Parisian flair for the occasion."
12-02-2020 14:45,Kate and William at Sandringham
12-02-2020 14:40,A new phrase has entered the fashion lexicon for spring/summer 2020: midriff flossing.
12-02-2020 14:35,Explainer: skirts with tie fastenings that wrap around the waist to highlight the stomach area.
12-02-2020 14:24,"slimline, hip-hugging, mid-length, tie-side – the perfect modern workwear"
12-02-2020 14:17,"The straight-fit ’00s midi skirt is having a resurgence thanks largely to Australian designer Christopher Esber, whose clients include Hailey Bieber, Dua Lipa, Emily Ratajkowski, Solange and Zendaya."
12-02-2020 14:08,See EmRata’s own brand Inamorata for how the model winds her tie fastenings around her waistline.
12-02-2020 13:33,Christopher Esber SS21
12-02-2020 13:32,"This whimsy belies the impeccable tailoring at Christopher Esber’s core: “If you open up [our dresses and skirts] you’ll find there are a lot of inner workings at play to control the cut-outs,” he explained."
12-02-2020 13:28,Style the sleek designs with flatform flip flops (The Row’s Ginza style is an editor-approved failsafe) and a tight vest or bandeau
12-02-2020 13:23,Camille Charrière in Christopher Esber
12-02-2020 13:20,London’s rising star Supriya Lele’s midriff flossing is rooted in the designer’s Indian heritage.
12-02-2020 13:16,"I’m always looking at my culture from a skeletal perspective,” she explained in the July issue of the magazine."
12-02-2020 13:15,"The delicate draping and wispy tie fastenings on Lele’s skirts and dresses look sensual, as opposed to stereotypical."
12-02-2020 13:02,"“It is the ghosts of these things, as opposed to doing a dupion trouser suit or putting a bindi on a model,” she added of her subtlety and lightness of touch."
12-02-2020 13:02,"Vintage obsessive Anne-Laure Mais of Musier Paris is making sure French It-girls, like Charrière, have enough tie-waisted skirts to see them through summer."
12-02-2020 12:59,"Inspired by the surfer scene and the vibrant culture of Spain, Mais’s effortless philosophy plays into the same relaxed mood shared by Esber’s beach-frequenting customers."
