Category: All categories,,,
,,,
Week,Skirt,Region,Searches: (8/7/19 - 8/7/20)
11-08-2019,73,Nagaland,100
18-08-2019,78,Meghalaya,96
25-08-2019,82,Kerala,69
01-09-2019,80,Mizoram,67
08-09-2019,82,Manipur,66
15-09-2019,79,Andaman and Nicobar Islands,64
22-09-2019,86,Sikkim,59
29-09-2019,90,Arunachal Pradesh,58
06-10-2019,87,Uttarakhand,56
13-10-2019,79,Goa,55
20-10-2019,86,Assam,52
27-10-2019,76,Delhi,47
03-11-2019,98,Jharkhand,47
10-11-2019,100,Haryana,45
17-11-2019,84,Chandigarh,45
24-11-2019,80,Tripura,44
01-12-2019,79,Karnataka,43
08-12-2019,76,Chhattisgarh,42
15-12-2019,73,Puducherry,41
22-12-2019,80,Punjab,37
29-12-2019,76,Uttar Pradesh,36
05-01-2020,81,Maharashtra,35
12-01-2020,79,Daman and Diu,35
19-01-2020,82,Tamil Nadu,33
26-01-2020,78,Jammu and Kashmir,32
02-02-2020,78,West Bengal,31
09-02-2020,76,Odisha,31
16-02-2020,83,Himachal Pradesh,31
23-02-2020,80,Rajasthan,29
01-03-2020,74,Madhya Pradesh,26
08-03-2020,70,Bihar,25
15-03-2020,63,Telangana,25
22-03-2020,46,Gujarat,25
29-03-2020,49,Dadra and Nagar Haveli,21
05-04-2020,49,Andhra Pradesh,19
12-04-2020,50,Lakshadweep,
19-04-2020,49,,
26-04-2020,46,,
03-05-2020,52,,
10-05-2020,59,,
17-05-2020,61,,
24-05-2020,61,,
31-05-2020,66,,
07-06-2020,67,,
14-06-2020,65,,
21-06-2020,66,,
28-06-2020,67,,
05-07-2020,69,,
12-07-2020,72,,
19-07-2020,76,,
26-07-2020,75,,
02-08-2020,79,,
