Week,Pencil Skirt,A-line,Skirt,Croptop,Ethnic Wear,Women's wear,Miniskirt,NikeSkirt,Bubble Skirt T-shirt,Designer,Patterns,Mermaid
11-08-2019,25,18,40,9,77,23,29,62,25,18,40,9
18-08-2019,23,9,30,0,69,67,30,58,23,9,30,0
25-08-2019,29,9,21,13,66,40,32,48,29,9,21,13
01-09-2019,32,11,20,0,60,45,33,60,32,11,20,0
08-09-2019,17,14,37,8,62,42,34,62,17,14,37,8
15-09-2019,17,14,25,0,61,38,37,51,17,14,25,0
22-09-2019,21,11,26,0,58,66,39,47,21,11,26,0
29-09-2019,13,20,23,0,62,45,47,48,13,20,23,0
06-10-2019,21,26,23,9,58,42,56,44,21,26,23,9
13-10-2019,17,9,31,8,52,24,57,47,17,9,31,8
20-10-2019,22,13,22,0,53,23,60,45,22,13,22,0
27-10-2019,17,17,17,0,51,36,60,40,17,17,17,0
03-11-2019,19,12,25,8,54,32,70,36,19,12,25,8
10-11-2019,19,12,43,16,52,37,78,37,19,12,43,16
17-11-2019,25,8,39,0,54,32,71,38,25,8,39,0
24-11-2019,20,17,23,9,65,49,100,42,20,17,23,9
01-12-2019,33,14,24,0,68,63,97,44,33,14,24,0
08-12-2019,12,12,25,8,63,50,88,43,12,12,25,8
15-12-2019,31,11,14,13,66,69,81,40,31,11,14,13
22-12-2019,33,38,29,10,52,30,69,40,33,38,29,10
29-12-2019,15,9,29,0,45,28,61,44,15,9,29,0
05-01-2020,19,11,25,8,52,29,51,41,19,11,25,8
12-01-2020,20,8,23,8,48,38,46,45,20,8,23,8
19-01-2020,29,16,25,8,53,26,48,48,29,16,25,8
26-01-2020,21,11,36,8,47,34,39,43,21,11,36,8
02-02-2020,8,20,21,16,49,31,41,44,8,20,21,16
09-02-2020,16,13,27,8,53,42,41,47,16,13,27,8
16-02-2020,28,21,12,0,59,42,43,53,28,21,12,0
23-02-2020,26,10,10,8,54,29,39,49,26,10,10,8
01-03-2020,25,18,25,8,61,30,37,52,25,18,25,8
08-03-2020,15,10,23,0,54,40,31,46,15,10,23,0
15-03-2020,8,8,10,0,45,32,25,34,8,8,10,0
22-03-2020,26,33,20,0,45,26,28,35,26,33,20,0
29-03-2020,32,17,24,7,52,30,29,40,32,17,24,7
05-04-2020,15,20,19,11,56,49,30,45,15,20,19,11
12-04-2020,24,17,24,0,69,60,34,50,24,17,24,0
19-04-2020,35,26,26,7,78,57,35,59,35,26,26,7
26-04-2020,25,19,33,11,84,52,34,66,25,19,33,11
03-05-2020,33,21,31,7,91,90,33,72,33,21,31,7
10-05-2020,34,24,29,0,86,49,37,68,34,24,29,0
17-05-2020,15,24,44,7,95,72,34,79,15,24,44,7
24-05-2020,30,28,28,7,94,69,32,94,30,28,28,7
31-05-2020,24,17,46,0,92,82,26,90,24,17,46,0
07-06-2020,35,33,47,7,100,84,32,100,35,33,47,7
14-06-2020,28,19,49,8,97,100,30,95,28,19,49,8
21-06-2020,52,28,31,8,93,93,30,99,52,28,31,8
28-06-2020,29,32,58,16,98,73,30,99,29,32,58,16
05-07-2020,21,44,53,8,95,64,30,88,21,44,53,8
12-07-2020,8,32,32,16,94,81,30,87,8,32,32,16
19-07-2020,29,19,43,8,90,79,30,87,29,19,43,8
26-07-2020,38,35,48,8,98,48,31,79,38,35,48,8
02-08-2020,100,38,71,0,97,81,34,73,100,38,71,0
